id,pred
2011_1103_1106,0.634165738826149
2011_1103_1112,0.121503850830969
2011_1103_1114,0.48950424296561
2011_1103_1125,0.520905140116889
2011_1103_1131,0.465368608799049
2011_1103_1137,0.440006029544769
2011_1103_1139,0.316028293073535
2011_1103_1140,0.0301410541945063
2011_1103_1153,0.0757496604325567
2011_1103_1155,0.416124661246612
2011_1103_1163,0.0301410541945063
2011_1103_1181,0.01613447267821
2011_1103_1196,0.0155223204169499
2011_1103_1199,0.47557656496204
2011_1103_1206,0.327255537547272
2011_1103_1207,0.189455996639361
2011_1103_1208,0.418579383403504
2011_1103_1211,0.422897836209258
2011_1103_1214,0.530518586507572
2011_1103_1228,0.334989926124916
2011_1103_1232,0.533987915407855
2011_1103_1242,0.0150359066427289
2011_1103_1243,0.218438177874187
2011_1103_1246,0.0747776530524134
2011_1103_1254,0.630369313678872
2011_1103_1257,0.0732233831275365
2011_1103_1266,0.398236092265943
2011_1103_1272,0.508705419825892
2011_1103_1276,0.326154260331135
2011_1103_1277,0.406212018906145
2011_1103_1281,0.361159575895853
2011_1103_1287,0.59
2011_1103_1294,0.549326312529038
2011_1103_1314,0.0171842886503768
2011_1103_1323,0.0170096955264501
2011_1103_1324,0.530183335817558
2011_1103_1326,0.014745308310992
2011_1103_1330,0.349369194509913
2011_1103_1336,0.371545268890402
2011_1103_1338,0.0132856983364966
2011_1103_1343,0.457976997935712
2011_1103_1345,0.031527238067307
2011_1103_1350,0.389730984569166
2011_1103_1361,0.0177131826955831
2011_1103_1364,0.539883863080685
2011_1103_1385,0.0989271714462554
2011_1103_1389,0.628103119032463
2011_1103_1393,0.0291734197730956
2011_1103_1396,0.179859657761911
2011_1103_1397,0.375731193034961
2011_1103_1400,0.0635504201680672
2011_1103_1401,0.218476144109055
2011_1103_1412,0.395015409352807
2011_1103_1417,0.382717644019633
2011_1103_1421,0.589323952278984
2011_1103_1424,0.330763094921563
2011_1103_1425,0.410930036527114
2011_1103_1427,0.520337228220677
2011_1103_1429,0.362176025917927
2011_1103_1433,0.397757968665586
2011_1103_1435,0.140883697308278
2011_1103_1437,0.324611610793132
2011_1103_1449,0.178312661181383
2011_1103_1452,0.0985972348370169
2011_1103_1458,0.0701860666378191
2011_1103_1459,0.489533492822966
2011_1103_1462,0.0987244633412838
2011_1106_1112,0.106190079199667
2011_1106_1114,0.389993686868687
2011_1106_1125,0.363345594114825
2011_1106_1131,0.339708418247374
2011_1106_1137,0.329424813817145
2011_1106_1139,0.27451255435545
2011_1106_1140,0.0138478085506857
2011_1106_1153,0.105263157894737
2011_1106_1155,0.314968663460137
2011_1106_1163,0.0138478085506857
2011_1106_1181,0.00174918614255867
2011_1106_1196,0.00098833761612967
2011_1106_1199,0.339673506065598
2011_1106_1206,0.308829802360301
2011_1106_1207,0.193154826171453
2011_1106_1208,0.307725694444444
2011_1106_1211,0.304606888533643
2011_1106_1214,0.473434690207618
2011_1106_1228,0.280477528089888
2011_1106_1232,0.367254489564795
2011_1106_1242,0.00175387313650979
2011_1106_1243,0.179541172559016
2011_1106_1246,0.0342791536821388
2011_1106_1254,0.492476754015216
2011_1106_1257,0.0374130167826443
2011_1106_1266,0.318057356967863
2011_1106_1272,0.346273984828202
2011_1106_1276,0.298704995019212
2011_1106_1277,0.295247724974722
2011_1106_1281,0.26810872349509
2011_1106_1287,0.402024820378837
2011_1106_1294,0.377977161500816
2011_1106_1314,0.00200150112584438
2011_1106_1323,0.00118947316251177
2011_1106_1324,0.37415513356936
2011_1106_1326,0.00115852481173972
2011_1106_1330,0.324967358189468
2011_1106_1336,0.275614312401207
2011_1106_1338,0.00115852481173972
2011_1106_1343,0.336470588235294
2011_1106_1345,0.0151143520053033
2011_1106_1350,0.318445475638051
2011_1106_1361,0.00113636363636364
2011_1106_1364,0.371920785702785
2011_1106_1385,0.124799829187573
2011_1106_1389,0.488843467893034
2011_1106_1393,0.0153355905198168
2011_1106_1396,0.212633220691448
2011_1106_1397,0.324374288964733
2011_1106_1400,0.0328220352960581
2011_1106_1401,0.234715025906736
2011_1106_1412,0.294235732721537
2011_1106_1417,0.319904268049461
2011_1106_1421,0.379883758475944
2011_1106_1424,0.319305182883773
2011_1106_1425,0.371884793314431
2011_1106_1427,0.35955952760932
2011_1106_1429,0.268709907341411
2011_1106_1433,0.294117647058824
2011_1106_1435,0.124518078566219
2011_1106_1437,0.271299179167846
2011_1106_1449,0.209931106200442
2011_1106_1452,0.0901274215269864
2011_1106_1458,0.0324169060320066
2011_1106_1459,0.386075949367089
2011_1106_1462,0.120200511945392
2011_1112_1114,0.885077015403081
2011_1112_1125,0.743187203791469
2011_1112_1131,0.875303152789006
2011_1112_1137,0.829681408791504
2011_1112_1139,0.603683806600154
2011_1112_1140,0.488364779874214
2011_1112_1153,0.685910438445935
2011_1112_1155,0.666666666666667
